Rank,Title,Genres,Tags,Where to Watch
1,Business Proposal,"Comedy, Romance, Drama","Boss-Employee Relationship, Secondary Couple, Contract Relationship, Fake Identity, Company President (CEO) Male Lead, Double Identity, Sismance, Rich Male Lead, Cheerful Female Lead, Rich Man/Poor Woman (Vote tags)","Netflix, Wavve"
3,Vincenzo,"Comedy, Law, Crime, Drama","Mafia, Revenge, Slight Romance, Eccentric Female Lead, Smart Male Lead, Black Comedy, Badass Male Lead, Skilled Killer, Corruption, Slow Burn Romance (Vote tags)","TVING, Netflix"
5,Squid Game,"Action, Thriller, Mystery, Drama","Death, Death Game, Poor Male Lead, Debt, Competition, Survival, Murder, Suspense, Friends To Enemies, Massacre (Vote tags)",Netflix
7,Alchemy of Souls,"Action, Historical, Romance, Fantasy","Transmigration, Master-Disciple Relationship, Supernatural, Hidden Identity, Body Swap, Elemental Power, Fake Identity, Comedy, Master-Servant Relationship, Flashback To Past (Vote tags)",Netflix
9,Weak Hero Class 1,"Action, Youth, Drama","Student Male Lead, Teenager Male Lead, Violence, Friendship, School Bullying, School Setting, Bromance, Skilled Fighter, High School, Introverted Male Lead (Vote tags)","Kocowa, Wavve, Viki, Netflix, iQiyi"
11,Twinkling Watermelon,"Romance, Youth, Drama, Fantasy","Time Travel, Child From The Future, Deafness, Sign Language, Father-Son Relationship, 1990s, Music, Coming Of Age, Friendship, Comedy (Vote tags)","TVING, Netflix, Viki"
13,Extraordinary Attorney Woo,"Law, Romance, Life, Drama","Autistic Female Lead, Autism, Attorney Female Lead, Smart Female Lead, Workplace Setting, Nice Male Lead, Father-Daughter Relationship, Courtroom Setting, Single Mother/Father Supporting Character, Slow Burn Romance (Vote tags)",Netflix
15,Hometown Cha-Cha-Cha,"Comedy, Romance, Life, Drama","Nice Male Lead, Character Development, Nice Female Lead, Cheerful Male Lead, Smart Female Lead, Hardworking Male Lead, Hardworking Female Lead, Opposites Attract, Village Setting, Healing (Vote tags)","TVING, Netflix"
17,The Glory,"Thriller, Drama, Melodrama","Revenge, School Bullying, School Violence, Sexual Content, Social Issues, Doctor Male Lead, Antiheroine Female Lead, Nonlinear Narrative, Time Skip, Psychological (Vote tags)",Netflix
19,Lovely Runner,"Music, Comedy, Romance, Fantasy","Butterfly Effect, Time Travel, Passionate Male Lead, Second Chance, Famous Male Lead, Time Altering, Love At First Sight, Famous Man/Common Woman, Determined Female Lead, Female Chases Male First (Vote tags)","TVING, Netflix, Viki, Apple TV"
21,Move to Heaven,"Life, Drama","Uncle-Nephew Relationship, Autism, Death, Tearjerker, Savant Syndrome, Life Lesson, Asperger’s Syndrome, Autistic Male Lead, Smart Male Lead, Murder (Vote tags)",Netflix
23,Twenty Five Twenty One,"Romance, Life, Drama, Melodrama","Coming Of Age, Nostalgia, Fencing, Nice Male Lead, Friendship, Character Development, Competition, IMF Crisis, High School To Working Life, Reporter Male Lead (Vote tags)","TVING, Netflix"
25,My Demon,"Action, Comedy, Romance, Fantasy","Demon Male Lead, Supernatural, Heiress Female Lead, Supernatural Power, Sassy Female Lead, Contract Relationship, Rich Female Lead, Age Gap [Real Life], Orphan Female Lead, Interspecies Romance (Vote tags)",Netflix
27,King the Land,"Comedy, Romance","Hotel Setting, Hardworking Female Lead, Male Chases Female First, Best Friends' Relationship, Workplace Setting, Rich Male Lead, Opposites Attract, Healthy Mains’ Relationship, Competent Female Lead, Nice Female Lead (Vote tags)","TVING, Netflix"
29,Doom at Your Service,"Comedy, Romance, Drama, Fantasy","Terminal Illness, Supernatural Power, Illness, Fate, Hardworking Female Lead, Brain Cancer, Unlucky Female Lead, First Love, Glioblastoma, Eccentric Male Lead (Vote tags)","TVING, Netflix, Viki, Apple TV"
31,My Name,"Action, Thriller, Mystery, Crime","Criminal Organization, Badass Female Lead, Revenge, Murder, Trauma, Hidden Identity, Gang, Double Identity, Noir, Death (Vote tags)",Netflix
33,All of Us Are Dead,"Action, Thriller, Horror, Sci-Fi","Survival, Zombies, Death, Zombie Apocalypse, Virus, Gore, Slight Romance, High School, Friendship, School Bullying (Vote tags)",Netflix
35,Queen of Tears,"Comedy, Romance, Life, Drama","Rich Family, Company President (CEO) Female Lead, Lawyer Male Lead, Black Comedy, Heiress Female Lead, Second Chance Romance, Married Life, Illness, Conglomerate, Prestigious Family (Vote tags)","TVING, Netflix"
37,When Life Gives You Tangerines,"Romance, Life, Drama","Family Relationship, Nice Male Lead, Healthy Mains’ Relationship, Break Up, Teenage Pregnancy, Poor Family, Father-Daughter Relationship, Poor Male Lead, Chasing A Dream, Heartwarming (Vote tags)",Netflix
39,Our Beloved Summer,"Romance, Life, Youth, Drama","Lovers Reunited, Second Chance Romance, High School Sweethearts, Character Development, First Love, Healing, Flashback To Past, Love/Hate Relationship, Interview, Coming Of Age (Vote tags)","Netflix, Wavve"
21,Happiness,"Action, Thriller, Drama, Sci-Fi","Infectious Disease, Police Officer Female Lead, Lockdown, Quarantine, Detective Male Lead, Building Setting, Virus, Slow Burn Romance, Healthy Mains’ Relationship, Determined Female Lead (Vote tags)","WeTV, Apple TV, Viki, Netflix, iQiyi, TVING"
23,"Nevertheless,","Romance, Life, Youth, Drama","Multiple Couples, Love Triangle, Playboy Male Lead, Adapted From A Webtoon, Friends With Benefits, Inner Monologue, Sexual Content, Fast Paced Romance, Unhealthy Mains' Relationship, Flirty Male Lead (Vote tags)",Netflix
25,Tomorrow,"Action, Thriller, Drama, Fantasy","Grim Reaper Female Lead, Grim Reaper Male Lead, Underworld, Attempted Suicide, Death, Suicide, Afterlife, Suicide Prevention, Coma, Team Leader Female Lead (Vote tags)",Netflix
