Rank,Title,Native Title,Genres,Tags,Where to Watch
1,20th Century Girl,20세기 소녀,"Romance, Youth, Melodrama","First Love, 1990s, Friendship, Tearjerker, Love Triangle, High School, Unrequited Love, Cheerful Female Lead, Misunderstanding, School Setting (Vote tags)",Netflix
2,Love and Leashes,모럴센스,"Comedy, Romance, Life, Drama","BDSM, Submissive Male Lead, Secret Relationship, Master-Slave Relationship, Gender Role Reversal, Workplace Romance, Adapted From A Webtoon, Hardworking Female Lead, Workplace Setting, Office Setting (Vote tags)",Netflix
3,Unlocked,스마트폰을 떨어뜨렸을 뿐인데,"Thriller, Mystery, Crime, Drama","Investigation, Social Media, Father-Daughter Relationship, Naive Female Lead, Suspense, Death, Graphic Violence, Stalker Male Lead, Murder, Detective Fiction (Vote tags)",Netflix
4,Midnight,미드나이트,"Action, Thriller, Mystery","Murder, Mother-Daughter Relationship, Disability, Investigation, Suspense, Psychological, Smart Female Lead, Serial Killer Male Lead, Criminal Male Lead, Death Of A Father (Vote tags)","Apple TV, Netflix, TVING"
5,Love Untangled,고백의 역사,"Comedy, Romance, Youth, Drama","Beauty Standards, High School, Popular Male Lead, 1990s, Supportive Friend, Transfer Student Male Lead, Student Supporting Character, Student Female Lead, School Setting, Beauty Salon Owner Supporting Character (Vote tags)",Netflix
6,Suga: Road to D-Day,슈가: 로드 투 디데이,"Adventure, Music, Documentary","Pop Music, K-Pop, BTS (Vote tags)",Disney+
7,Ballerina,발레리나,"Action, Thriller, Martial Arts","Badass Female Lead, Revenge, Sismance, Student Supporting Character, Graphic Violence, Ballet Dancer Female Lead, Criminal Male Lead, Skilled Fighter, Gun Violence, Attempted Murder (Vote tags)",Netflix
8,Love Reset,30일,"Comedy, Romance, Drama","Amnesia, Going Through A Divorce, Married Female Lead, Married Male Lead, Car Accident, Lawyer Male Lead, Rich Female Lead, Producer Female Lead, Bar Owner Supporting Character (Vote tags)","Apple TV, Netflix, Viki"
9,Exhuma,파묘,"Thriller, Mystery, Horror, Supernatural","Geomancer Male Lead, Shaman Female Lead, Dark Fantasy, Evil Spirit, Shamanism, Investigation, Shaman Male Lead, Spirit Possession, Occult, Exhumation (Vote tags)","iQiyi, Viki"
10,Space Sweepers,승리호,"Action, Adventure, Drama, Sci-Fi","CGI, Outer Space, Future, Robot, Badass Female Lead, Friendship, Poor Male Lead, Family Relationship, Teamwork, Android (Vote tags)",Netflix
11,J-Hope in the Box,제이홉 인 더 박스,"Music, Documentary","Pop Music, Dynamic Duo, K-Pop, BTS (Vote tags)",Disney+
12,Brave Citizen,용감한 시민,"Action, Comedy, Drama, Martial Arts","School Bullying, Violent Male Lead, Student Male Lead, Teacher Female Lead, School Setting, Teenager Male Lead, Boxing, High School, Violence, Adapted From A Webtoon (Vote tags)","Kocowa, Viki"
13,Officer Black Belt,무도실무관,"Action, Mystery, Comedy, Crime","Probation Officer Male Lead, Skilled Fighter, Sexual Violence, Violence Against Children, Investigation, Graphic Violence, Martial Artist Male Lead, Thriller, Suspense (Vote tags) (show hidden tags)",Netflix
14,Soulmate,소울메이트,"Romance, Drama","Sismance, Childhood Friends' Relationship, Best Friends' Relationship, Artist Female Lead, Youth, Friendship, Visual Arts, Past And Present, Coming Of Age, Character Development (Vote tags)",Apple TV
15,Dream,드림,"Comedy, Drama, Sports","Athlete Male Lead, Soccer, Social Issues, Second Chance, Homeless Supporting Character, Leadership, Mother-Son Relationship, Selfish Parent, Documentarian Female Lead, Soccer Player Supporting Character (Vote tags)",Netflix
16,Kill Bok Soon,길복순,"Action, Thriller, Crime, Drama","Assassin Female Lead, Skilled Killer, Mother-Daughter Relationship, Sexual Content, Graphic Violence, Single Mother Female Lead, Assassination, Erotic, Nudity, LGBTQ+ (Vote tags)",Netflix
17,Sweet & Sour,새콤달콤,"Comedy, Romance, Melodrama","Long Distance Relationship, Love Triangle, Love At First Sight, Adapted From A Novel, Time Skip, Past And Present, Unhealthy Mains' Relationship, Selfish Male Lead, Workplace Romance, Smoking (Vote tags)",Netflix
18,The Witch: Part 2. The Other One,마녀2,"Action, Thriller, Mystery, Sci-Fi","Suspense, Supernatural Power, Skilled Killer, Death, Superhuman Strength, Murder, Gun Violence, Human Experimentation, Investigation, Emotionally Strong Female Lead (Vote tags)","Apple TV, Hulu"
19,Wonderland,원더랜드,"Romance, Drama, Sci-Fi","Artificial Intelligence, Simulated Universe, Multiple Storyline, Mother-Daughter Relationship, Death, Coma, Simulation, Hardworking Female Lead, Grandma-Granddaughter Relationship, Meet Again (Vote tags)",Netflix
20,Love in the Big City,대도시의 사랑법,"Romance, Life, Drama","Friendship, Best Friends' Relationship, Gay Male Lead, Cold Open, Flashback To Past, Time Skip, LGBTQ+, Adapted From A Novel, Closeted Male Lead, Roommates' Relationship (Vote tags)","Netflix, Viki"
21,Hear Me: Our Summer,청설,"Comedy, Romance, Drama","Sign Language, Misunderstanding, Sisters' Relationship, Deafness, Love At First Sight, Supportive Parent, Disability, Swimming, Nice Male Lead, Friendship (Vote tags)",
22,Even if This Love Disappears Tonight,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","Romance, Life, Youth, Melodrama","Student Female Lead, Student Male Lead, School Setting, Best Friends' Relationship, Classmates' Relationship, Fake To Real Lovers, Unlikely Romance, Father-Son Relationship, Illness, Amnesia (Vote tags)",Netflix
23,A Year-End Medley,해피 뉴 이어,"Comedy, Romance, Drama, Melodrama","Multiple Mains, Multiple Couples, Winter Setting, Christmas Setting, New Year Setting, Hotel Setting, Hotelier Male Lead, Housekeeper Female Lead, Suicidal Male Lead, Heartwarming (Vote tags)",iQiyi
24,The Childe,귀공자,"Action, Thriller, Crime, Drama","Graphic Violence, Multiracial Male Lead, Rich Family, Poor Male Lead, Organ Harvesting, Filmed Abroad, Noir, Mystery, Suspense, Evil Stepsibling (Vote tags)","iQiyi, Viki"
25,Seobok,서복,"Action, Thriller, Mystery, Sci-Fi","Clone, Brain Tumor, Secret Organization, Death, Suspense, Superhuman Strength, Bromance, Existentialism, Laboratory Setting, Agent Male Lead (Vote tags)","Apple TV, Disney+, TVING, Viki"
26,Omniscient Reader: The Prophecy,전지적 독자 시점,"Action, Adventure, Fantasy","Survival, Apocalypse, Office Worker Male Lead, Special Ability, Former Soldier Male Lead, Adapted From A Web Novel, Age Gap [Real Life], Save The World, CGI, Skilled Fighter (Vote tags)","Apple TV, Viki"
27,The Time of Fever,내 손끝에 너의 온도가 닿을 때,"Romance, Drama","LGBTQ+, Friends Reunited, Athlete Male Lead, Teenager Male Lead, Gay Male Lead, Death Of A Father, Swimmer Male Lead, Kicked Out Of Home, Long Time Crush, First Love Returns (Vote tags)",
28,Emergency Declaration,비상선언,"Action, Thriller, Psychological, Drama","Multiple Mains, Father-Daughter Relationship, Plane Setting, Flight Attendant Female Lead, Detective Male Lead, Aerospace Industry, Aviation Industry, Minister Female Lead, Pilot Male Lead, Child Supporting Character (Vote tags)","Netflix, Viki"
29,Semantic Error: The Movie,시맨틱 에러: 더 무비,"Comedy, Romance, Youth","LGBTQ+, Bisexual Male Lead, Student Male Lead, Adapted From A Web Novel, Gay Romance, Serious Male Lead, University, Campus Setting, Cold Male Lead, Smart Male Lead (Vote tags)",Viki
30,Shark: The Beginning,샤크: 더 비기닝,"Action, Drama, Martial Arts","School Bullying, Prison Setting, Teenager Male Lead, High School, Revenge, Violence, Character Development, Adapted From A Webtoon, Friendship, Death (Vote tags)",iQiyi
31,Wish You: Your Melody From My Heart (Movie),위시 유 : 나의 마음속 너의 멜로디 (영화),"Music, Romance, Drama","LGBTQ+, Gay Romance, Music Industry, Shy Male Lead, Entertainment Industry, Cohabitation, Busking, Singing, Rich Male Lead, Secret Crush (Vote tags)","Netflix, Viki"
32,Mantis,사마귀,"Action, Thriller, Mystery, Crime","Mentor-Mentee Relationship, Graphic Violence, Assassin Female Lead, Assassin Male Lead, Criminal Male Lead, Criminal Female Lead, Picaresque, Long Time Friends, Flashback To Past, Web Movie (Vote tags)",Netflix
33,Ditto,동감,"Romance, Drama, Fantasy, Melodrama","Past And Present, Different Timelines, Youth, University, 1990s, MDL Remake, Young Adult Female Lead, Young Adult Male Lead, Unrequited Love, Student Female Lead (Vote tags)","Apple TV, Netflix, Disney+, Viki"
