Rank,Title,Native Title,Genres,Tags,Where to Watch
1,Business Proposal,사내 맞선,"Comedy, Romance, Drama","Boss-Employee Relationship, Secondary Couple, Contract Relationship, Fake Identity, Company President (CEO) Male Lead, Double Identity, Sismance, Rich Male Lead, Cheerful Female Lead, Rich Man/Poor Woman (Vote tags)","Netflix, Wavve"
2,Vincenzo,빈센조,"Comedy, Law, Crime, Drama","Mafia, Revenge, Slight Romance, Eccentric Female Lead, Smart Male Lead, Black Comedy, Badass Male Lead, Skilled Killer, Corruption, Slow Burn Romance (Vote tags)","TVING, Netflix"
3,Squid Game,오징어 게임,"Action, Thriller, Mystery, Drama","Death, Death Game, Poor Male Lead, Debt, Competition, Survival, Murder, Suspense, Friends To Enemies, Massacre (Vote tags)",Netflix
4,Alchemy of Souls,환혼,"Action, Historical, Romance, Fantasy","Transmigration, Master-Disciple Relationship, Supernatural, Hidden Identity, Body Swap, Elemental Power, Fake Identity, Comedy, Master-Servant Relationship, Flashback To Past (Vote tags)",Netflix
5,Weak Hero Class 1,약한영웅 Class 1,"Action, Youth, Drama","Student Male Lead, Teenager Male Lead, Violence, Friendship, School Bullying, School Setting, Bromance, Skilled Fighter, High School, Introverted Male Lead (Vote tags)","Netflix, Viki, Kocowa, Wavve, iQiyi"
6,Twinkling Watermelon,반짝이는 워터멜론,"Romance, Youth, Drama, Fantasy","Time Travel, Child From The Future, Deafness, Sign Language, Father-Son Relationship, 1990s, Music, Coming Of Age, Friendship, Comedy (Vote tags)","TVING, Viki, Netflix"
7,Extraordinary Attorney Woo,이상한 변호사 우영우,"Law, Romance, Life, Drama","Autistic Female Lead, Autism, Attorney Female Lead, Smart Female Lead, Workplace Setting, Nice Male Lead, Father-Daughter Relationship, Courtroom Setting, Single Mother/Father Supporting Character, Slow Burn Romance (Vote tags)",Netflix
8,Hometown Cha-Cha-Cha,갯마을 차차차,"Comedy, Romance, Life, Drama","Nice Male Lead, Character Development, Nice Female Lead, Cheerful Male Lead, Smart Female Lead, Hardworking Male Lead, Hardworking Female Lead, Opposites Attract, Village Setting, Healing (Vote tags)","TVING, Netflix"
9,The Glory,더 글로리,"Thriller, Drama, Melodrama","Revenge, School Bullying, School Violence, Sexual Content, Social Issues, Doctor Male Lead, Antiheroine Female Lead, Nonlinear Narrative, Time Skip, Psychological (Vote tags)",Netflix
10,Lovely Runner,선재 업고 튀어,"Music, Comedy, Romance, Fantasy","Butterfly Effect, Time Travel, Passionate Male Lead, Second Chance, Famous Male Lead, Time Altering, Love At First Sight, Famous Man/Common Woman, Determined Female Lead, Female Chases Male First (Vote tags)","Apple TV, Viki, TVING, Netflix"
11,Move to Heaven,무브 투 헤븐: 나는 유품정리사입니다,"Life, Drama","Uncle-Nephew Relationship, Autism, Death, Tearjerker, Savant Syndrome, Life Lesson, Asperger’s Syndrome, Autistic Male Lead, Smart Male Lead, Murder (Vote tags)",Netflix
12,Twenty Five Twenty One,스물다섯 스물하나,"Romance, Life, Drama, Melodrama","Coming Of Age, Nostalgia, Fencing, Nice Male Lead, Friendship, Character Development, Competition, IMF Crisis, High School To Working Life, Reporter Male Lead (Vote tags)","TVING, Netflix"
13,My Demon,마이데몬,"Action, Comedy, Romance, Fantasy","Demon Male Lead, Supernatural, Heiress Female Lead, Supernatural Power, Sassy Female Lead, Contract Relationship, Rich Female Lead, Age Gap [Real Life], Orphan Female Lead, Interspecies Romance (Vote tags)",Netflix
14,King the Land,킹더랜드,"Comedy, Romance","Hotel Setting, Hardworking Female Lead, Male Chases Female First, Best Friends' Relationship, Workplace Setting, Rich Male Lead, Opposites Attract, Healthy Mains’ Relationship, Competent Female Lead, Nice Female Lead (Vote tags)","TVING, Netflix"
15,Doom at Your Service,어느 날 우리집 현관으로 멸망이 들어왔다,"Comedy, Romance, Drama, Fantasy","Terminal Illness, Supernatural Power, Illness, Fate, Hardworking Female Lead, Brain Cancer, Unlucky Female Lead, First Love, Glioblastoma, Eccentric Male Lead (Vote tags)","Apple TV, Viki, TVING, Netflix"
16,My Name,마이 네임,"Action, Thriller, Mystery, Crime","Criminal Organization, Badass Female Lead, Revenge, Murder, Trauma, Hidden Identity, Gang, Double Identity, Noir, Death (Vote tags)",Netflix
17,All of Us Are Dead,지금 우리 학교는,"Action, Thriller, Horror, Sci-Fi","Survival, Zombies, Death, Zombie Apocalypse, Virus, Gore, Slight Romance, High School, Friendship, School Bullying (Vote tags)",Netflix
18,Queen of Tears,눈물의 여왕,"Comedy, Romance, Life, Drama","Rich Family, Company President (CEO) Female Lead, Lawyer Male Lead, Black Comedy, Heiress Female Lead, Second Chance Romance, Married Life, Illness, Conglomerate, Prestigious Family (Vote tags)","TVING, Netflix"
19,When Life Gives You Tangerines,폭싹 속았수다,"Romance, Life, Drama","Family Relationship, Nice Male Lead, Healthy Mains’ Relationship, Break Up, Teenage Pregnancy, Poor Family, Father-Daughter Relationship, Poor Male Lead, Chasing A Dream, Heartwarming (Vote tags)",Netflix
20,Our Beloved Summer,그해 우리는,"Romance, Life, Youth, Drama","Lovers Reunited, Second Chance Romance, High School Sweethearts, Character Development, First Love, Healing, Flashback To Past, Love/Hate Relationship, Interview, Coming Of Age (Vote tags)","Netflix, Wavve"
